T v u h s
240 1.0677 2715.5 2950.4 7.6261
250 1.0891 2730.9 2970.5 7.6650
260 1.1106 2746.4 2990.7 7.7032
270 1.1320 2761.9 3010.9 7.7407
280 1.1533 2777.4 3031.1 7.7775
290 1.1747 2792.9 3051.3 7.8138
300 1.1960 2808.5 3071.6 7.8494
310 1.2173 2824.1 3091.9 7.8845
320 1.2385 2839.7 3112.2 7.9191
330 1.2598 2855.4 3132.6 7.9532
340 1.2810 2871.2 3153.0 7.9868
350 1.3022 2887.0 3173.5 8.0200
360 1.3234 2902.9 3194.0 8.0526
370 1.3446 2918.8 3214.6 8.0849
380 1.3658 2934.8 3235.3 8.1167
390 1.3870 2950.9 3256.0 8.1482
400 1.4081 2966.9 3276.7 8.1792
410 1.4293 2983.1 3297.5 8.2099
420 1.4504 2999.3 3318.4 8.2402
430 1.4715 3015.6 3339.3 8.2702
440 1.4926 3031.9 3360.3 8.2998
450 1.5138 3048.3 3381.3 8.3291
460 1.5349 3064.7 3402.4 8.3581
470 1.5560 3081.3 3423.6 8.3868
480 1.5771 3097.8 3444.8 8.4151
490 1.5981 3114.5 3466.1 8.4432
500 1.6192 3131.3 3487.5 8.4710
520 1.6614 3164.9 3530.4 8.5258
540 1.7035 3198.7 3573.5 8.5796
560 1.7456 3233.0 3617.0 8.6323
580 1.7877 3267.4 3660.7 8.6842
600 1.8298 3302.0 3704.6 8.7351
620 1.8719 3337.1 3748.9 8.7852
640 1.9140 3372.3 3793.4 8.8345
660 1.9561 3407.9 3838.2 8.8831
680 1.9981 3443.7 3883.3 8.9309
700 2.0402 3479.9 3928.7 8.9780
720 2.0822 3516.2 3974.3 9.0244
740 2.1243 3552.9 4020.2 9.0702
760 2.1663 3589.8 4066.4 9.1153
780 2.2083 3627.1 4112.9 9.1599
800 2.2504 3664.6 4159.7 9.2039
820 2.2924 3702.4 4206.7 9.2473
840 2.3344 3740.4 4254.0 9.2902
860 2.3764 3778.8 4301.6 9.3325
880 2.4184 3817.4 4349.4 9.3744
900 2.4604 3856.3 4397.6 9.4158
920 2.5025 3895.4 4446.0 9.4567
940 2.5445 3934.8 4494.6 9.4971
960 2.5865 3974.6 4543.6 9.5371
980 2.6285 4014.5 4592.8 9.5767
1000 2.6705 4054.7 4642.2 9.6159
Water/Steam at p = 0.24 MPa (Tsat = 126.072)
0 0.00100009 -0.04 0.20 -0.00014
5 0.00099997 21.02 21.26 0.07625
10 0.00100023 42.01 42.25 0.15106
15 0.00100083 62.97 63.21 0.22443
20 0.00100173 83.90 84.14 0.29643
25 0.00100290 104.81 105.05 0.36716
30 0.00100431 125.71 125.95 0.43668
35 0.00100594 146.60 146.84 0.50505
40 0.00100778 167.50 167.74 0.57231
45 0.00100982 188.40 188.64 0.63852
50 0.00101205 209.30 209.54 0.70370
55 0.00101445 230.21 230.45 0.76791
60 0.00101703 251.13 251.37 0.83118
65 0.00101977 272.05 272.29 0.89353
70 0.00102268 292.99 293.24 0.95501
75 0.00102574 313.94 314.19 1.0156
80 0.00102896 334.92 335.17 1.0755
85 0.00103234 355.91 356.16 1.1345
90 0.00103587 376.92 377.17 1.1927
95 0.00103955 397.96 398.21 1.2503
100 0.00104339 419.02 419.27 1.3071
105 0.00104738 440.11 440.36 1.3633
110 0.00105153 461.24 461.49 1.4187
115 0.00105584 482.39 482.64 1.4736
120 0.00106030 503.59 503.84 1.5279
125 0.00106493 524.82 525.08 1.5816
126.072 0.00106594 529.38 529.64 1.5930
126.072 0.74668 2535.4 2714.6 7.0661
130 0.75507 2542.0 2723.2 7.0876
135 0.76566 2550.3 2734.1 7.1143
140 0.77616 2558.5 2744.8 7.1405
145 0.78660 2566.6 2755.4 7.1660
150 0.79697 2574.7 2766.0 7.1911
155 0.80729 2582.8 2776.5 7.2157
160 0.81757 2590.7 2786.9 7.2399
165 0.82779 2598.5 2797.2 7.2636
170 0.83798 2606.5 2807.6 7.2871
175 0.84814 2614.2 2817.8 7.3101
180 0.85826 2622.1 2828.1 7.3329
185 0.86835 2629.9 2838.3 7.3553
190 0.87841 2637.7 2848.5 7.3774
195 0.88845 2645.5 2858.7 7.3993
200 0.89847 2653.2 2868.8 7.4208
210 0.91843 2668.7 2889.1 7.4632
220 0.93833 2684.1 2909.3 7.5046
230 0.95816 2699.5 2929.5 7.5452
240 0.97794 2715.0 2949.7 7.5849
250 0.99767 2730.5 2969.9 7.6239
260 1.0174 2745.9 2990.1 7.6621
270 1.0370 2761.4 3010.3 7.6997
280 1.0566 2776.9 3030.5 7.7366
290 1.0762 2792.5 3050.8 7.7729
300 1.0958 2808.1 3071.1 7.8086
310 1.1153 2823.7 3091.4 7.8438
320 1.1348 2839.4 3111.8 7.8784
330 1.1543 2855.2 3132.2 7.9125
340 1.1738 2870.9 3152.6 7.9462
350 1.1933 2886.7 3173.1 7.9793
360 1.2128 2902.6 3193.7 8.0121
370 1.2322 2918.6 3214.3 8.0443
380 1.2516 2934.5 3234.9 8.0762
390 1.2710 2950.6 3255.6 8.1077
400 1.2904 2966.7 3276.4 8.1387
410 1.3098 2982.8 3297.2 8.1694
420 1.3292 2999.1 3318.1 8.1998
430 1.3486 3015.3 3339.0 8.2297
440 1.3680 3031.7 3360.0 8.2594
450 1.3873 3048.1 3381.1 8.2887
460 1.4067 3064.6 3402.2 8.3177
470 1.4260 3081.1 3423.3 8.3464
480 1.4454 3097.7 3444.6 8.3748
490 1.4647 3114.4 3465.9 8.4029
500 1.4841 3131.0 3487.2 8.4307
520 1.5227 3164.8 3530.2 8.4855
540 1.5614 3198.6 3573.3 8.5392
560 1.6000 3232.8 3616.8 8.5920
580 1.6386 3267.2 3660.5 8.6439
600 1.6772 3302.0 3704.5 8.6948
620 1.7158 3336.9 3748.7 8.7449
640 1.7544 3372.2 3793.3 8.7943
660 1.7929 3407.8 3838.1 8.8428
680 1.8315 3443.6 3883.2 8.8906
700 1.8701 3479.7 3928.5 8.9377
720 1.9086 3516.1 3974.2 8.9841
740 1.9472 3552.8 4020.1 9.0299
760 1.9857 3589.7 4066.3 9.0751
780 2.0242 3627.0 4112.8 9.1196
800 2.0628 3664.5 4159.6 9.1636
820 2.1013 3702.3 4206.6 9.2071
840 2.1398 3740.3 4253.9 9.2499
860 2.1783 3778.7 4301.5 9.2923
880 2.2168 3817.4 4349.4 9.3342
900 2.2554 3856.2 4397.5 9.3756
920 2.2939 3895.4 4445.9 9.4165
940 2.3324 3934.8 4494.6 9.4569
960 2.3709 3974.5 4543.5 9.4969
980 2.4094 4014.4 4592.7 9.5365
1000 2.4479 4054.7 4642.2 9.5757
Water/Steam at p = 0.26 MPa (Tsat = 128.708)
0 0.00100008 -0.04 0.22 -0.00014
5 0.00099996 21.02 21.28 0.07625
10 0.00100022 42.01 42.27 0.15106
15 0.00100082 62.97 63.23 0.22442
20 0.00100172 83.90 84.16 0.29643
25 0.00100289 104.81 105.07 0.36716
30 0.00100430 125.71 125.97 0.43668
35 0.00100593 146.60 146.86 0.50504
40 0.00100777 167.50 167.76 0.57230
45 0.00100981 188.39 188.65 0.63851
50 0.00101204 209.30 209.56 0.70369
55 0.00101444 230.20 230.46 0.76790
60 0.00101702 251.12 251.38 0.83117
65 0.00101976 272.04 272.31 0.89352
70 0.00102267 292.98 293.25 0.95500
75 0.00102573 313.94 314.21 1.0156
80 0.00102895 334.91 335.18 1.0754
85 0.00103233 355.90 356.17 1.1345
90 0.00103586 376.92 377.19 1.1927
95 0.00103954 397.95 398.22 1.2503
100 0.00104338 419.02 419.29 1.3071
105 0.00104737 440.11 440.38 1.3632
110 0.00105152 461.23 461.50 1.4187
115 0.00105583 482.39 482.66 1.4736
120 0.00106029 503.57 503.85 1.5279
125 0.00106492 524.81 525.09 1.5815
128.708 0.00106846 540.59 540.87 1.6210
128.708 0.69273 2538.2 2718.3 7.0394
130 0.69530 2540.4 2721.2 7.0465
135 0.70517 2548.9 2732.2 7.0736
140 0.71495 2557.1 2743.0 7.1001
145 0.72466 2565.4 2753.8 7.1259
150 0.73431 2573.5 2764.4 7.1512
155 0.74390 2581.6 2775.0 7.1760
160 0.75344 2589.6 2785.5 7.2004
165 0.76293 2597.5 2795.9 7.2243
170 0.77239 2605.5 2806.3 7.2479
175 0.78181 2613.3 2816.6 7.2711
180 0.79119 2621.2 2826.9 7.2940
185 0.80055 2629.1 2837.2 7.3165
190 0.80987 2636.8 2847.4 7.3387
195 0.81917 2644.6 2857.6 7.3607
200 0.82845 2652.4 2867.8 7.3823
210 0.84695 2668.0 2888.2 7.4249
220 0.86537 2683.5 2908.5 7.4664
230 0.88372 2698.9 2928.7 7.5071
240 0.90203 2714.5 2949.0 7.5469
250 0.92028 2729.9 2969.2 7.5860
260 0.93849 2745.4 2989.4 7.6243
270 0.95666 2761.0 3009.7 7.6619
280 0.97481 2776.5 3030.0 7.6989
290 0.99292 2792.1 3050.3 7.7353
300 1.0110 2807.7 3070.6 7.7710
310 1.0291 2823.3 3090.9 7.8063
320 1.0471 2839.1 3111.3 7.8409
330 1.0651 2854.9 3131.8 7.8751
340 1.0831 2870.6 3152.2 7.9087
350 1.1011 2886.4 3172.7 7.9419
360 1.1191 2902.3 3193.3 7.9747
370 1.1371 2918.3 3213.9 8.0070
380 1.1550 2934.3 3234.6 8.0389
390 1.1729 2950.3 3255.3 8.0704
400 1.1909 2966.5 3276.1 8.1014
410 1.2088 2982.6 3296.9 8.1322
420 1.2267 2998.9 3317.8 8.1625
430 1.2446 3015.1 3338.7 8.1925
440 1.2625 3031.4 3359.7 8.2222
450 1.2804 3047.9 3380.8 8.2515
460 1.2982 3064.4 3401.9 8.2805
470 1.3161 3080.9 3423.1 8.3092
480 1.3340 3097.6 3444.4 8.3376
490 1.3518 3114.2 3465.7 8.3657
500 1.3697 3130.9 3487.0 8.3935
520 1.4054 3164.6 3530.0 8.4483
540 1.4411 3198.5 3573.2 8.5021
560 1.4767 3232.7 3616.6 8.5549
580 1.5124 3267.1 3660.3 8.6068
600 1.5480 3301.8 3704.3 8.6578
620 1.5837 3336.8 3748.6 8.7079
640 1.6193 3372.1 3793.1 8.7572
660 1.6549 3407.7 3838.0 8.8057
680 1.6905 3443.6 3883.1 8.8536
700 1.7261 3479.6 3928.4 8.9007
720 1.7617 3516.1 3974.1 8.9471
740 1.7973 3552.7 4020.0 8.9929
760 1.8329 3589.6 4066.2 9.0381
780 1.8684 3626.9 4112.7 9.0826
800 1.9040 3664.5 4159.5 9.1266
820 1.9396 3702.2 4206.5 9.1700
840 1.9752 3740.2 4253.8 9.2129
860 2.0107 3778.6 4301.4 9.2553
880 2.0463 3817.3 4349.3 9.2972
900 2.0818 3856.1 4397.4 9.3386
920 2.1174 3895.3 4445.8 9.3795
940 2.1529 3934.7 4494.5 9.4199
960 2.1885 3974.4 4543.4 9.4599
980 2.2240 4014.4 4592.6 9.4995
1000 2.2596 4054.6 4642.1 9.5387
Water/Steam at p = 0.28 MPa (Tsat = 131.185)
0 0.00100007 -0.04 0.24 -0.00014
5 0.00099995 21.02 21.30 0.07625
10 0.00100021 42.01 42.29 0.15106
15 0.00100081 62.97 63.25 0.22442
20 0.00100171 83.90 84.18 0.29643
25 0.00100288 104.81 105.09 0.36715
30 0.00100429 125.71 125.99 0.43667
35 0.00100592 146.60 146.88 0.50503
40 0.00100777 167.49 167.77 0.57230
45 0.00100980 188.39 188.67 0.63850
50 0.00101203 209.29 209.57 0.70368
55 0.00101443 230.20 230.48 0.76789
60 0.00101701 251.12 251.40 0.83115
65 0.00101975 272.04 272.33 0.89351
70 0.00102266 292.98 293.27 0.95498
75 0.00102572 313.93 314.22 1.0156
80 0.00102894 334.91 335.20 1.0754
85 0.00103232 355.90 356.19 1.1344
90 0.00103585 376.91 377.20 1.1927
95 0.00103953 397.95 398.24 1.2502
100 0.00104337 419.01 419.30 1.3071
105 0.00104736 440.10 440.39 1.3632
110 0.00105151 461.22 461.51 1.4187
115 0.00105581 482.37 482.67 1.4736
120 0.00106028 503.57 503.87 1.5278
125 0.00106491 524.81 525.11 1.5815
130 0.00106970 546.09 546.39 1.6346
131.185 0.00107086 551.14 551.44 1.6471
131.185 0.64624 2540.8 2721.7 7.0146
135 0.65330 2547.3 2730.2 7.0356
140 0.66247 2555.7 2741.2 7.0624
145 0.67156 2564.1 2752.1 7.0885
150 0.68059 2572.2 2762.8 7.1140
155 0.68955 2580.4 2773.5 7.1390
160 0.69846 2588.4 2784.0 7.1636
165 0.70733 2596.4 2794.5 7.1877
170 0.71616 2604.5 2805.0 7.2114
175 0.72494 2612.4 2815.4 7.2348
180 0.73370 2620.4 2825.8 7.2578
185 0.74242 2628.2 2836.1 7.2804
190 0.75112 2636.1 2846.4 7.3028
195 0.75979 2643.9 2856.6 7.3248
200 0.76844 2651.7 2866.9 7.3465
210 0.78567 2667.3 2887.3 7.3893
220 0.80282 2682.8 2907.6 7.4310
230 0.81992 2698.4 2928.0 7.4717
240 0.83695 2714.0 2948.3 7.5117
250 0.85394 2729.4 2968.5 7.5508
260 0.87088 2745.0 2988.8 7.5892
270 0.88779 2760.5 3009.1 7.6269
280 0.90467 2776.1 3029.4 7.6640
290 0.92151 2791.7 3049.7 7.7004
300 0.93833 2807.4 3070.1 7.7362
310 0.95512 2823.1 3090.5 7.7714
320 0.97190 2838.8 3110.9 7.8062
330 0.98865 2854.5 3131.3 7.8404
340 1.0054 2870.3 3151.8 7.8741
350 1.0221 2886.2 3172.4 7.9073
360 1.0388 2902.0 3192.9 7.9400
370 1.0555 2918.1 3213.6 7.9724
380 1.0722 2934.1 3234.3 8.0043
390 1.0889 2950.1 3255.0 8.0358
400 1.1055 2966.3 3275.8 8.0669
410 1.1222 2982.4 3296.6 8.0976
420 1.1388 2998.6 3317.5 8.1280
430 1.1554 3015.0 3338.5 8.1580
440 1.1721 3031.3 3359.5 8.1877
450 1.1887 3047.7 3380.5 8.2170
460 1.2053 3064.2 3401.7 8.2460
470 1.2219 3080.8 3422.9 8.2748
480 1.2385 3097.3 3444.1 8.3032
490 1.2551 3114.0 3465.4 8.3313
500 1.2717 3130.7 3486.8 8.3591
520 1.3048 3164.5 3529.8 8.4140
540 1.3380 3198.4 3573.0 8.4677
560 1.3711 3232.5 3616.4 8.5206
580 1.4042 3267.0 3660.2 8.5724
600 1.4373 3301.8 3704.2 8.6234
620 1.4704 3336.8 3748.5 8.6736
640 1.5035 3372.0 3793.0 8.7229
660 1.5366 3407.6 3837.8 8.7714
680 1.5697 3443.4 3882.9 8.8193
700 1.6027 3479.5 3928.3 8.8664
720 1.6358 3516.0 3974.0 8.9128
740 1.6688 3552.6 4019.9 8.9586
760 1.7019 3589.6 4066.1 9.0038
780 1.7349 3626.8 4112.6 9.0484
800 1.7680 3664.4 4159.4 9.0923
820 1.8010 3702.1 4206.4 9.1358
840 1.8340 3740.3 4253.8 9.1787
860 1.8670 3778.5 4301.3 9.2211
880 1.9001 3817.2 4349.2 9.2629
900 1.9331 3856.1 4397.4 9.3043
920 1.9661 3895.3 4445.8 9.3452
940 1.9991 3934.7 4494.4 9.3857
960 2.0321 3974.4 4543.4 9.4257
980 2.0651 4014.4 4592.6 9.4653
1000 2.0981 4054.5 4642.0 9.5044
Water/Steam at p = 0.30 MPa (Tsat = 133.522)
0 0.00100006 -0.04 0.26 -0.00013
5 0.00099994 21.02 21.32 0.07625
10 0.00100020 42.01 42.31 0.15106
15 0.00100081 62.97 63.27 0.22442
20 0.00100170 83.89 84.19 0.29642
25 0.00100287 104.80 105.10 0.36715
30 0.00100428 125.70 126.00 0.43666
35 0.00100591 146.60 146.90 0.50503
40 0.00100776 167.49 167.79 0.57229
45 0.00100980 188.39 188.69 0.63849
50 0.00101202 209.29 209.59 0.70368
55 0.00101443 230.20 230.50 0.76788
60 0.00101700 251.11 251.42 0.83114
65 0.00101974 272.03 272.34 0.89350
70 0.00102265 292.98 293.29 0.95497
75 0.00102571 313.93 314.24 1.0156
80 0.00102893 334.90 335.21 1.0754
85 0.00103231 355.89 356.20 1.1344
90 0.00103584 376.91 377.22 1.1927
95 0.00103952 397.94 398.25 1.2502
100 0.00104336 419.01 419.32 1.3071
105 0.00104735 440.10 440.41 1.3632
110 0.00105150 461.21 461.53 1.4187
115 0.00105580 482.37 482.69 1.4736
120 0.00106027 503.56 503.88 1.5278
125 0.00106490 524.80 525.12 1.5815
130 0.00106969 546.08 546.40 1.6346
133.522 0.00107317 561.11 561.43 1.6717
133.522 0.60576 2543.2 2724.9 6.9916
135 0.60833 2545.7 2728.2 6.9998
140 0.61697 2554.3 2739.4 7.0269
145 0.62553 2562.6 2750.3 7.0533
150 0.63401 2571.0 2761.2 7.0791
155 0.64244 2579.2 2771.9 7.1044
160 0.65081 2587.4 2782.6 7.1291
165 0.65913 2595.5 2793.2 7.1534
170 0.66742 2603.5 2803.7 7.1773
175 0.67566 2611.5 2814.2 7.2008
180 0.68387 2619.4 2824.6 7.2239
185 0.69205 2627.4 2835.0 7.2467
190 0.70020 2635.2 2845.3 7.2691
195 0.70832 2643.1 2855.6 7.2913
200 0.71642 2651.0 2865.9 7.3131
210 0.73256 2666.6 2886.4 7.3560
220 0.74862 2682.2 2906.8 7.3978
230 0.76461 2697.8 2927.2 7.4387
240 0.78055 2713.3 2947.5 7.4788
250 0.79644 2729.0 2967.9 7.5180
260 0.81229 2744.5 2988.2 7.5565
270 0.82810 2760.1 3008.5 7.5943
280 0.84388 2775.6 3028.8 7.6314
290 0.85962 2791.3 3049.2 7.6678
300 0.87534 2807.0 3069.6 7.7037
310 0.89104 2822.7 3090.0 7.7390
320 0.90672 2838.4 3110.4 7.7738
330 0.92237 2854.2 3130.9 7.8080
340 0.93801 2870.0 3151.4 7.8417
350 0.95363 2885.9 3172.0 7.8750
360 0.96924 2901.8 3192.6 7.9078
370 0.98483 2917.8 3213.2 7.9401
380 1.0004 2933.8 3233.9 7.9721
390 1.0160 2949.9 3254.7 8.0036
400 1.0315 2966.1 3275.5 8.0347
410 1.0471 2982.2 3296.3 8.0655
420 1.0626 2998.4 3317.2 8.0959
430 1.0782 3014.7 3338.2 8.1259
440 1.0937 3031.1 3359.2 8.1556
450 1.1092 3047.5 3380.3 8.1849
460 1.1247 3064.0 3401.4 8.2140
470 1.1402 3080.5 3422.6 8.2427
480 1.1557 3097.2 3443.9 8.2711
490 1.1712 3113.8 3465.2 8.2992
500 1.1867 3130.6 3486.6 8.3271
520 1.2177 3164.3 3529.6 8.3819
540 1.2486 3198.2 3572.8 8.4357
560 1.2796 3232.4 3616.3 8.4886
580 1.3105 3266.9 3660.0 8.5404
600 1.3414 3301.6 3704.0 8.5914
620 1.3723 3336.6 3748.3 8.6416
640 1.4032 3371.9 3792.9 8.6909
660 1.4341 3407.5 3837.7 8.7395
680 1.4649 3443.3 3882.8 8.7873
700 1.4958 3479.5 3928.2 8.8344
720 1.5266 3515.9 3973.9 8.8809
740 1.5575 3552.6 4019.8 8.9267
760 1.5884 3589.5 4066.0 8.9719
780 1.6192 3626.7 4112.5 9.0164
800 1.6500 3664.3 4159.3 9.0604
820 1.6809 3702.0 4206.3 9.1039
840 1.7117 3740.2 4253.7 9.1468
860 1.7425 3778.5 4301.3 9.1892
880 1.7733 3817.1 4349.1 9.2310
900 1.8042 3856.0 4397.3 9.2724
920 1.8350 3895.2 4445.7 9.3133
940 1.8658 3934.7 4494.4 9.3538
960 1.8966 3974.3 4543.3 9.3938
980 1.9274 4014.3 4592.5 9.4334
1000 1.9582 4054.5 4642.0 9.4726
Water/Steam at p = 0.35 MPa (Tsat = 138.857)
0 0.00100003 -0.04 0.31 -0.00013
5 0.00099991 21.02 21.37 0.07625
10 0.00100018 42.01 42.36 0.15106
15 0.00100078 62.96 63.31 0.22441
20 0.00100168 83.89 84.24 0.29641
25 0.00100285 104.80 105.15 0.36714
30 0.00100426 125.70 126.05 0.43665
35 0.00100589 146.59 146.94 0.50501
40 0.00100773 167.49 167.84 0.57227
45 0.00100977 188.38 188.73 0.63847
50 0.00101200 209.28 209.63 0.70365
55 0.00101440 230.18 230.54 0.76786
60 0.00101698 251.10 251.46 0.83112
65 0.00101972 272.03 272.39 0.89347
70 0.00102263 292.97 293.33 0.95494
75 0.00102569 313.92 314.28 1.0156
80 0.00102891 334.89 335.25 1.0754
85 0.00103229 355.88 356.24 1.1344
90 0.00103581 376.90 377.26 1.1927
95 0.00103950 397.93 398.29 1.2502
100 0.00104333 418.98 419.35 1.3070
105 0.00104732 440.07 440.44 1.3632
110 0.00105147 461.20 461.57 1.4187
115 0.00105578 482.35 482.72 1.4735
120 0.00106024 503.55 503.92 1.5278
125 0.00106487 524.79 525.16 1.5814
130 0.00106966 546.07 546.44 1.6346
135 0.00107463 567.39 567.77 1.6872
138.857 0.00107857 583.88 584.26 1.7274
138.857 0.52418 2548.5 2732.0 6.9401
140 0.52591 2550.5 2734.6 6.9465
145 0.53341 2559.2 2745.9 6.9738
150 0.54083 2567.8 2757.1 7.0003
155 0.54818 2576.2 2768.1 7.0261
160 0.55547 2584.5 2778.9 7.0514
165 0.56272 2592.7 2789.7 7.0761
170 0.56991 2600.9 2800.4 7.1004
175 0.57707 2609.1 2811.1 7.1243
180 0.58419 2617.1 2821.6 7.1477
185 0.59128 2625.2 2832.1 7.1708
190 0.59834 2633.2 2842.6 7.1935
195 0.60537 2641.1 2853.0 7.2159
200 0.61238 2649.1 2863.4 7.2380
210 0.62633 2664.9 2884.1 7.2813
220 0.64020 2680.6 2904.7 7.3235
230 0.65400 2696.3 2925.2 7.3647
240 0.66775 2712.0 2945.7 7.4050
250 0.68145 2727.7 2966.2 7.4444
260 0.69510 2743.3 2986.6 7.4831
270 0.70872 2758.9 3007.0 7.5211
280 0.72230 2774.6 3027.4 7.5583
290 0.73585 2790.4 3047.9 7.5949
300 0.74937 2806.0 3068.3 7.6309
310 0.76287 2821.8 3088.8 7.6664
320 0.77635 2837.6 3109.3 7.7012
330 0.78981 2853.4 3129.8 7.7355
340 0.80325 2869.3 3150.4 7.7693
350 0.81668 2885.2 3171.0 7.8027
360 0.83009 2901.1 3191.6 7.8355
370 0.84348 2917.1 3212.3 7.8680
380 0.85687 2933.2 3233.1 7.9000
390 0.87024 2949.3 3253.9 7.9315
400 0.88360 2965.4 3274.7 7.9627
410 0.89695 2981.7 3295.6 7.9935
420 0.91030 2997.9 3316.5 8.0239
430 0.92363 3014.2 3337.5 8.0540
440 0.93696 3030.7 3358.6 8.0837
450 0.95028 3047.1 3379.7 8.1131
460 0.96360 3063.5 3400.8 8.1422
470 0.97690 3080.1 3422.0 8.1709
480 0.99021 3096.7 3443.3 8.1994
490 1.0035 3113.5 3464.7 8.2275
500 1.0168 3130.2 3486.1 8.2554
520 1.0434 3163.9 3529.1 8.3103
540 1.0699 3197.8 3572.3 8.3642
560 1.0965 3232.0 3615.8 8.4170
580 1.1230 3266.6 3659.6 8.4689
600 1.1495 3301.3 3703.6 8.5200
620 1.1760 3336.3 3747.9 8.5701
640 1.2025 3371.6 3792.5 8.6195
660 1.2290 3407.3 3837.4 8.6681
680 1.2555 3443.1 3882.5 8.7159
700 1.2819 3479.2 3927.9 8.7631
720 1.3084 3515.7 3973.6 8.8095
740 1.3348 3552.3 4019.5 8.8553
760 1.3613 3589.3 4065.8 8.9005
780 1.3877 3626.6 4112.3 8.9451
800 1.4142 3664.1 4159.1 8.9891
820 1.4406 3701.9 4206.1 9.0326
840 1.4671 3740.0 4253.5 9.0755
860 1.4935 3778.4 4301.1 9.1179
880 1.5199 3817.0 4349.0 9.1598
900 1.5463 3855.9 4397.1 9.2012
920 1.5728 3895.0 4445.5 9.2421
940 1.5992 3934.5 4494.2 9.2825
960 1.6256 3974.2 4543.2 9.3226
980 1.6520 4014.2 4592.4 9.3621
1000 1.6784 4054.4 4641.8 9.4013
Water/Steam at p = 0.40 MPa (Tsat = 143.608)
0 0.00100001 -0.03 0.37 -0.00013
5 0.00099989 21.02 21.42 0.07625
10 0.00100015 42.01 42.41 0.15105
15 0.00100076 62.96 63.36 0.22440
20 0.00100166 83.89 84.29 0.29640
25 0.00100283 104.80 105.20 0.36712
30 0.00100424 125.69 126.09 0.43663
35 0.00100587 146.59 146.99 0.50499
40 0.00100771 167.48 167.88 0.57225
45 0.00100975 188.38 188.78 0.63845
50 0.00101198 209.28 209.68 0.70363
55 0.00101438 230.17 230.58 0.76783
60 0.00101696 251.09 251.50 0.83109
65 0.00101970 272.02 272.43 0.89344
70 0.00102260 292.96 293.37 0.95491
75 0.00102567 313.91 314.32 1.0155
80 0.00102889 334.88 335.29 1.0753
85 0.00103226 355.87 356.28 1.1344
90 0.00103579 376.88 377.29 1.1926
95 0.00103947 397.91 398.33 1.2502
100 0.00104331 418.97 419.39 1.3070
105 0.00104730 440.06 440.48 1.3631
110 0.00105144 461.18 461.60 1.4186
115 0.00105575 482.34 482.76 1.4735
120 0.00106021 503.53 503.95 1.5277
125 0.00106484 524.76 525.19 1.5814
130 0.00106963 546.04 546.47 1.6345
135 0.00107459 567.37 567.80 1.6871
140 0.00107973 588.76 589.19 1.7392
143.608 0.00108355 604.22 604.65 1.7765
143.608 0.46238 2553.1 2738.1 6.8955
145 0.46425 2555.6 2741.3 6.9033
150 0.47088 2564.4 2752.8 6.9306
155 0.47744 2573.1 2764.1 6.9571
160 0.48393 2581.6 2775.2 6.9829
165 0.49037 2590.1 2786.2 7.0081
170 0.49676 2598.4 2797.1 7.0329
175 0.50310 2606.7 2807.9 7.0571
180 0.50941 2614.8 2818.6 7.0809
185 0.51569 2623.0 2829.3 7.1043
190 0.52193 2631.1 2839.9 7.1273
195 0.52814 2639.1 2850.4 7.1500
200 0.53433 2647.2 2860.9 7.1723
210 0.54665 2663.1 2881.8 7.2160
220 0.55888 2679.0 2902.6 7.2586
230 0.57104 2694.9 2923.3 7.3001
240 0.58314 2710.6 2943.9 7.3407
250 0.59520 2726.4 2964.5 7.3804
260 0.60720 2742.1 2985.0 7.4193
270 0.61917 2757.8 3005.5 7.4574
280 0.63111 2773.6 3026.0 7.4948
290 0.64301 2789.4 3046.6 7.5316
300 0.65489 2805.1 3067.1 7.5677
310 0.66674 2820.9 3087.6 7.6032
320 0.67858 2836.8 3108.2 7.6382
330 0.69039 2852.6 3128.8 7.6726
340 0.70218 2868.5 3149.4 7.7065
350 0.71396 2884.4 3170.0 7.7399
360 0.72572 2900.4 3190.7 7.7728
370 0.73747 2916.5 3211.5 7.8053
380 0.74921 2932.5 3232.2 7.8374
390 0.76093 2948.6 3253.0 7.8690
400 0.77264 2964.8 3273.9 7.9002
410 0.78435 2981.1 3294.8 7.9311
420 0.79605 2997.4 3315.8 7.9615
430 0.80773 3013.7 3336.8 7.9917
440 0.81941 3030.1 3357.9 8.0214
450 0.83109 3046.6 3379.0 8.0508
460 0.84275 3063.1 3400.2 8.0799
470 0.85441 3079.6 3421.4 8.1087
480 0.86607 3096.4 3442.8 8.1372
490 0.87771 3113.0 3464.1 8.1654
500 0.88936 3129.8 3485.5 8.1933
520 0.91263 3163.5 3528.6 8.2482
540 0.93589 3197.5 3571.9 8.3021
560 0.95913 3231.7 3615.4 8.3550
580 0.98236 3266.3 3659.2 8.4069
600 1.0056 3301.0 3703.2 8.4580
620 1.0288 3336.1 3747.6 8.5082
640 1.0520 3371.4 3792.2 8.5576
660 1.0752 3406.9 3837.0 8.6062
680 1.0983 3442.9 3882.2 8.6540
700 1.1215 3479.0 3927.6 8.7012
720 1.1447 3515.4 3973.3 8.7477
740 1.1678 3552.2 4019.3 8.7935
760 1.1910 3589.1 4065.5 8.8387
780 1.2142 3626.3 4112.0 8.8833
800 1.2373 3663.9 4158.8 8.9273
820 1.2604 3701.7 4205.9 8.9708
840 1.2836 3739.9 4253.3 9.0137
860 1.3067 3778.2 4300.9 9.0561
